origin,retard_mig,vols
ABE,3.2024958794443137,4337
ABI,4.409534750143596,1757
ABQ,4.291413230420739,24092
ABR,10.718836565096954,728
ABY,15.914134742404228,765
ACK,11.23023402909551,1675
ACT,15.302830188679245,1087
ACV,17.972957084068195,1737
ACY,1.755950385517935,3052
ADK,-6.833333333333333,104
ADQ,1.3479349186483105,816
AEX,12.220093215950286,1966
AGS,13.461440570119624,4022
AKN,-3.2655367231638417,178
ALB,6.072989621129019,12042
ALW,2.8155893536121672,544
AMA,5.493410543130991,5086
ANC,1.6699247707429576,18543
APN,9.789819376026273,629
ASE,20.62104830983988,7888
ATL,6.82433913203144,341910
ATW,10.712748614281056,6259
AUS,9.236286419284426,85344
AVL,11.659344431096619,12082
AVP,13.363520408163266,1592
AZA,-0.957611120645272,5884
AZO,5.521739130434782,1005
BDL,5.913514991342386,22302
BET,12.032033426183844,726
BFF,9.162295081967214,627
BFL,1.2623445156426687,2681
BGM,7.265536723163842,367
BGR,3.998432601880878,4636
BHM,7.251707891637221,17233
BIH,9.047619047619047,274
BIL,3.3932310689067444,4149
BIS,5.029546612328069,3974
BJI,9.915629322268327,730
BLI,3.810071371927042,2544
BLV,15.130393996247655,1098
BMI,4.794991263832266,1750
BNA,5.92740791766279,100220
BOI,2.9826324605483556,22859
BOS,4.108080707824065,143490
BPT,4.1678321678321675,730
BQK,17.442622950819672,795
BQN,10.617402164862614,2446
BRD,2.337984496124031,649
BRO,6.3269130661114,1962
BRW,11.359420289855073,364
BTM,-14.178260869565218,690
BTR,8.680515164104694,4918
BTV,4.508058423570889,8122
BUF,5.508783284023669,22166
BUR,4.130450617488329,30636
BWI,8.155402001007701,98572
BZN,6.694885011895321,10203
CAE,5.625186734389005,6817
CAK,11.216121495327103,3476
CDC,-1.8044871794871795,629
CDV,-0.671875,726
CHA,7.660059171597633,6853
CHO,5.713235294117647,3203
CHS,6.810417327832434,25694
CID,11.572618296529969,8135
CIU,18.404463040446306,728
CKB,35.42574257425743,207
CLE,3.9670972700900053,41106
CLL,9.781135531135531,1122
CLT,13.904229878185486,217574
CMH,2.7353138637126553,42272
CMI,8.097794117647059,1385
CMX,17.759656652360515,730
CNY,-1.8620689655172413,31
COD,9.540064102564102,631
