nom_mes,op_unique_carrier,total_vols,vols_retardats,retard_mitja_arribada
Abr,9E,16964,2038,-2.2416855405888665
Abr,AA,81216,18801,12.75842766668329
Abr,AS,19430,3862,3.417431430497226
Abr,B6,20124,4286,7.144367978949499
Abr,DL,82832,12424,2.455641792490525
Abr,F9,17081,4862,18.638574323518895
Abr,G4,9271,1218,0.4299511665762344
Abr,HA,6375,881,4.3955449482895785
Abr,MQ,23148,4213,5.485144163150492
Abr,NK,21998,3703,2.0492105142015373
Abr,OH,18611,3848,10.285939111086991
Abr,OO,59669,9312,4.927521026179074
Abr,UA,61044,11209,3.7528535324336376
Abr,WN,120579,22726,4.6784984529161076
Abr,YX,23863,2758,-3.614487962021024
Ago,9E,17102,3226,8.238329238329237
Ago,AA,85963,25215,21.599610525430045
Ago,AS,23265,5530,7.736089307517879
Ago,B6,20498,6894,26.104768266365223
Ago,DL,90397,16660,5.962469246253635
Ago,F9,18813,5762,18.600782024452034
Ago,G4,9244,2209,13.764640638864241
Ago,HA,6829,745,2.530357142857143
Ago,MQ,25925,4953,5.038864441761751
Ago,NK,24676,6876,16.19082677498519
Ago,OH,20730,4861,15.28498003992016
Ago,OO,65390,12781,8.770234464060142
Ago,UA,65939,14423,10.018971876799528
Ago,WN,118338,22924,5.067853388823846
Ago,YX,25916,4673,6.191281880313386
Des,9E,17351,3266,4.33536231884058
Des,AA,77737,16854,10.748275367421723
Des,AS,20027,4143,3.9814021470692
Des,B6,20771,6135,15.65815554362154
Des,DL,83283,15751,4.329773529022238
Des,F9,17294,4062,8.93943456718158
Des,G4,11084,2841,18.027721495671393
Des,HA,6699,991,4.435142041184428
Des,MQ,22584,4298,6.668948435037154
Des,NK,18662,4028,6.717359650541984
Des,OH,20903,5499,16.430130474850852
Des,OO,66601,13876,10.091742558523318
Des,UA,64030,11492,4.277866918357716
Des,WN,116276,21660,4.711195057920411
Des,YX,27279,4799,1.384387936132466
Feb,9E,15656,1535,-6.490839397089397
Feb,AA,74870,13426,4.836310042205399
Feb,AS,16863,2724,-1.0290341931613678
Feb,B6,19235,4519,7.546213602494319
Feb,DL,71218,7635,-4.240115460433681
Feb,F9,14157,2718,3.7465277777777777
Feb,G4,8486,1450,4.840661938534279
Feb,HA,6067,1072,7.947930574098798
Feb,MQ,20117,2330,-1.9716637565477675
Feb,NK,19929,4103,4.893802175562864
Feb,OH,15655,2035,-2.4120210175573495
Feb,OO,53325,8492,3.605072809511995
Feb,UA,56834,8738,0.5987760532150777
Feb,WN,105207,16432,0.7055533780101909
Feb,YX,21602,1580,-11.15140547146752
Gen,9E,16972,3673,10.564893026697083
Gen,AA,77346,21696,19.174557577514527
Gen,AS,17775,3882,10.381648844429114
Gen,B6,19580,5405,13.522219904026706
Gen,DL,74384,13438,4.364911423998263
Gen,F9,14379,3720,14.719330722677109
Gen,G4,8596,1816,10.528209419077218
Gen,HA,6576,1658,10.664710424710425
Gen,MQ,20750,5283,13.350354609929077
Gen,NK,20415,5118,9.684378268014541
Gen,OH,16526,3834,14.985842074779587
Gen,OO,56814,12744,15.202837324281445
Gen,UA,58855,11321,8.857359776308723
Gen,WN,115389,25311,6.420730560060208
