distance,arr_delay
1107.0,-12.0
1085.0,-14.0
192.0,26.0
1874.0,-7.0
1389.0,10.0
925.0,73.0
602.0,16.0
546.0,-14.0
391.0,-20.0
356.0,-5.0
2688.0,17.0
853.0,-7.0
967.0,-17.0
774.0,43.0
235.0,-6.0
515.0,-19.0
2300.0,2.0
852.0,-8.0
646.0,14.0
737.0,-22.0
102.0,2.0
834.0,-5.0
583.0,-7.0
482.0,-12.0
708.0,-1.0
1313.0,-16.0
670.0,26.0
772.0,17.0
631.0,58.0
2149.0,27.0
895.0,-5.0
1829.0,11.0
309.0,-2.0
1061.0,0.0
134.0,45.0
602.0,9.0
862.0,-20.0
345.0,-15.0
251.0,-3.0
1199.0,-23.0
227.0,11.0
200.0,-25.0
973.0,8.0
562.0,16.0
223.0,4.0
925.0,-28.0
335.0,26.0
821.0,-5.0
1426.0,-12.0
925.0,140.0
322.0,-13.0
230.0,-26.0
867.0,3.0
577.0,-7.0
1506.0,-1.0
472.0,65.0
482.0,-13.0
326.0,53.0
468.0,-8.0
862.0,121.0
1489.0,1.0
746.0,-9.0
2584.0,0.0
1491.0,-29.0
1620.0,-22.0
874.0,-7.0
695.0,-17.0
754.0,4.0
533.0,8.0
482.0,-20.0
812.0,-23.0
2133.0,12.0
721.0,-23.0
426.0,-17.0
474.0,-13.0
913.0,268.0
2065.0,-10.0
1246.0,-17.0
1121.0,4.0
268.0,-17.0
1107.0,57.0
1235.0,-9.0
581.0,3.0
553.0,-7.0
1475.0,-28.0
413.0,-16.0
689.0,2.0
259.0,-14.0
505.0,-10.0
1012.0,6.0
416.0,9.0
214.0,-10.0
460.0,2.0
689.0,12.0
762.0,-2.0
669.0,1.0
432.0,-3.0
674.0,3.0
795.0,7.0
148.0,-4.0
364.0,-11.0
468.0,16.0
907.0,-13.0
604.0,-17.0
728.0,-24.0
1362.0,-44.0
928.0,-22.0
1569.0,-5.0
1075.0,-22.0
163.0,0.0
266.0,31.0
447.0,1.0
752.0,1.0
692.0,31.0
507.0,-6.0
1250.0,-9.0
427.0,7.0
900.0,-3.0
2439.0,-22.0
495.0,-4.0
837.0,51.0
113.0,-16.0
507.0,-1.0
763.0,-25.0
1009.0,-12.0
3329.0,-27.0
391.0,-10.0
1005.0,-10.0
679.0,-24.0
226.0,21.0
2329.0,-8.0
435.0,-1.0
3365.0,0.0
368.0,-14.0
826.0,-6.0
1674.0,-18.0
292.0,48.0
106.0,-15.0
669.0,-13.0
240.0,-15.0
577.0,37.0
301.0,19.0
721.0,93.0
337.0,-13.0
1521.0,-12.0
377.0,-25.0
427.0,-20.0
368.0,34.0
1052.0,60.0
624.0,65.0
1185.0,-25.0
1097.0,-25.0
319.0,5.0
1721.0,-40.0
369.0,-20.0
201.0,-8.0
746.0,-10.0
536.0,33.0
1085.0,-17.0
599.0,18.0
701.0,89.0
1107.0,-12.0
361.0,30.0
1062.0,-10.0
1607.0,-30.0
1360.0,-18.0
1068.0,9.0
405.0,-9.0
743.0,-17.0
781.0,7.0
2614.0,-36.0
680.0,30.0
1524.0,-11.0
175.0,29.0
1189.0,-5.0
89.0,-3.0
229.0,41.0
386.0,-19.0
772.0,5.0
1124.0,-24.0
306.0,35.0
192.0,-18.0
2086.0,-5.0
547.0,-14.0
1562.0,-10.0
337.0,-6.0
350.0,-2.0
413.0,-13.0
554.0,-12.0
936.0,-12.0
259.0,-3.0
1269.0,13.0
491.0,-11.0
390.0,-12.0
1085.0,-12.0
888.0,-5.0
1969.0,18.0
879.0,-18.0
1107.0,-8.0
517.0,-30.0
199.0,-17.0
334.0,-7.0
1781.0,5.0
1426.0,5.0
1145.0,33.0
587.0,30.0
1053.0,8.0
258.0,-10.0
1927.0,-13.0
1199.0,-6.0
393.0,-15.0
350.0,-17.0
140.0,-11.0
616.0,-4.0
2586.0,-26.0
1197.0,73.0
594.0,-9.0
1182.0,-9.0
416.0,-15.0
873.0,-27.0
989.0,-6.0
577.0,7.0
279.0,96.0
444.0,-10.0
1085.0,-14.0
2454.0,-30.0
386.0,-24.0
1235.0,3.0
1670.0,23.0
335.0,-2.0
250.0,26.0
867.0,86.0
594.0,16.0
547.0,12.0
451.0,-4.0
185.0,1.0
964.0,-26.0
1235.0,-29.0
1121.0,-14.0
526.0,-3.0
746.0,-11.0
834.0,133.0
577.0,-34.0
125.0,735.0
1442.0,30.0
544.0,15.0
201.0,13.0
862.0,-8.0
268.0,-7.0
230.0,-4.0
632.0,-5.0
1065.0,-12.0
140.0,-15.0
236.0,103.0
126.0,-10.0
472.0,41.0
305.0,-1.0
601.0,-48.0
496.0,-3.0
2717.0,14.0
632.0,60.0
377.0,17.0
474.0,143.0
153.0,-17.0
461.0,4.0
1080.0,0.0
190.0,-21.0
2024.0,35.0
436.0,69.0
2176.0,49.0
413.0,0.0
581.0,5.0
879.0,-1.0
562.0,-7.0
1616.0,-14.0
1103.0,-22.0
628.0,-18.0
192.0,-3.0
896.0,-24.0
977.0,-5.0
585.0,-9.0
323.0,-2.0
951.0,12.0
967.0,-8.0
1189.0,-12.0
1089.0,-12.0
1491.0,-12.0
529.0,-8.0
1024.0,-4.0
495.0,19.0
1363.0,-6.0
1506.0,3.0
834.0,-13.0
1547.0,-5.0
588.0,6.0
2039.0,13.0
414.0,30.0
177.0,-14.0
818.0,-38.0
899.0,-14.0
551.0,-12.0
602.0,19.0
1416.0,88.0
397.0,-11.0
760.0,6.0
530.0,-3.0
2402.0,51.0
541.0,-14.0
1154.0,-11.0
963.0,-15.0
640.0,-11.0
1248.0,-16.0
746.0,-4.0
710.0,-10.0
2586.0,-37.0
184.0,9.0
997.0,-11.0
404.0,-5.0
488.0,-12.0
221.0,-27.0
862.0,31.0
432.0,-7.0
944.0,-4.0
446.0,1.0
666.0,-35.0
313.0,-16.0
1052.0,-7.0
946.0,-3.0
2845.0,-27.0
724.0,125.0
370.0,-24.0
1452.0,-12.0
1038.0,-15.0
675.0,20.0
319.0,8.0
1389.0,-15.0
584.0,-7.0
1024.0,-4.0
466.0,-1.0
1623.0,-9.0
1189.0,-12.0
902.0,-8.0
740.0,-14.0
689.0,-5.0
1197.0,-7.0
371.0,-8.0
493.0,-22.0
2161.0,2.0
134.0,-22.0
2419.0,4.0
1163.0,-9.0
452.0,19.0
756.0,-2.0
304.0,28.0
1041.0,-22.0
524.0,77.0
1442.0,0.0
783.0,-21.0
216.0,-1.0
340.0,-7.0
255.0,0.0
854.0,-5.0
946.0,-15.0
3329.0,-15.0
604.0,-9.0
363.0,1.0
328.0,-16.0
719.0,-9.0
846.0,-26.0
500.0,-30.0
142.0,-14.0
227.0,-4.0
783.0,17.0
1242.0,-17.0
460.0,2.0
2475.0,-19.0
534.0,5.0
721.0,12.0
364.0,10.0
387.0,-4.0
479.0,174.0
345.0,-14.0
784.0,-8.0
84.0,-7.0
370.0,98.0
842.0,-12.0
612.0,-10.0
612.0,40.0
1014.0,-23.0
417.0,-1.0
958.0,-13.0
862.0,-16.0
449.0,-5.0
883.0,105.0
1133.0,4.0
151.0,-20.0
431.0,-5.0
371.0,-20.0
521.0,-12.0
1587.0,-16.0
806.0,-8.0
554.0,-26.0
414.0,6.0
1448.0,8.0
577.0,-12.0
553.0,7.0
192.0,73.0
1005.0,-19.0
2404.0,-9.0
175.0,-21.0
1576.0,73.0
908.0,1.0
328.0,-7.0
954.0,-4.0
601.0,-2.0
802.0,0.0
775.0,-16.0
1790.0,-9.0
563.0,-2.0
1389.0,22.0
140.0,2.0
145.0,-20.0
1235.0,1.0
1096.0,-14.0
2475.0,-26.0
129.0,-12.0
473.0,22.0
861.0,-3.0
760.0,27.0
1620.0,-6.0
601.0,-15.0
569.0,-1.0
849.0,-16.0
216.0,-4.0
665.0,-29.0
849.0,14.0
899.0,17.0
198.0,-21.0
719.0,-17.0
1399.0,19.0
532.0,-15.0
500.0,117.0
1258.0,23.0
129.0,-8.0
5095.0,-2.0
245.0,-3.0
1182.0,-11.0
1189.0,-4.0
359.0,-14.0
1058.0,-3.0
184.0,-37.0
462.0,128.0
495.0,-7.0
196.0,137.0
407.0,1.0
280.0,-8.0
842.0,-23.0
690.0,3.0
956.0,103.0
1047.0,-8.0
621.0,25.0
577.0,-22.0
672.0,10.0
226.0,54.0
696.0,-28.0
2762.0,21.0
350.0,-13.0
1209.0,7.0
775.0,-4.0
1535.0,-17.0
594.0,-18.0
806.0,0.0
1587.0,0.0
316.0,-30.0
283.0,13.0
581.0,-10.0
1430.0,-14.0
963.0,4.0
1262.0,5.0
344.0,-11.0
200.0,-3.0
2425.0,0.0
632.0,-8.0
190.0,103.0
214.0,164.0
677.0,9.0
341.0,7.0
628.0,-15.0
737.0,4.0
270.0,-17.0
255.0,-12.0
425.0,18.0
599.0,2.0
602.0,-6.0
448.0,13.0
620.0,-21.0
1090.0,-17.0
304.0,-14.0
200.0,-15.0
1099.0,-12.0
2521.0,12.0
1171.0,-9.0
806.0,41.0
925.0,-12.0
565.0,0.0
689.0,38.0
950.0,64.0
308.0,-19.0
802.0,-17.0
402.0,-21.0
1660.0,-15.0
265.0,8.0
980.0,8.0
1587.0,-6.0
1501.0,-31.0
842.0,-4.0
1139.0,-16.0
678.0,-4.0
225.0,-7.0
284.0,8.0
793.0,-24.0
649.0,-10.0
413.0,-16.0
1874.0,78.0
1379.0,-26.0
370.0,-6.0
2541.0,-19.0
1065.0,-22.0
1055.0,-17.0
631.0,22.0
139.0,-11.0
733.0,-19.0
1824.0,7.0
533.0,-5.0
748.0,-32.0
306.0,-25.0
408.0,54.0
1121.0,-17.0
1448.0,-29.0
761.0,9.0
983.0,-15.0
997.0,-10.0
2343.0,7.0
1371.0,-4.0
639.0,0.0
854.0,0.0
1035.0,22.0
1565.0,-35.0
594.0,-16.0
228.0,-13.0
102.0,-17.0
406.0,-6.0
373.0,-7.0
236.0,-19.0
594.0,-29.0
397.0,-19.0
383.0,-13.0
861.0,-15.0
1616.0,-13.0
1608.0,-15.0
488.0,-2.0
1599.0,34.0
383.0,2.0
1158.0,10.0
925.0,-19.0
356.0,8.0
1851.0,-14.0
303.0,-20.0
979.0,26.0
264.0,-23.0
860.0,-16.0
213.0,-17.0
120.0,-7.0
399.0,-18.0
1185.0,9.0
748.0,-4.0
349.0,-19.0
272.0,-15.0
594.0,-24.0
1297.0,44.0
1099.0,38.0
888.0,31.0
940.0,-10.0
852.0,-11.0
861.0,-24.0
2176.0,-5.0
1154.0,8.0
214.0,86.0
184.0,-29.0
153.0,-6.0
277.0,-11.0
1744.0,21.0
391.0,1.0
682.0,-14.0
544.0,-30.0
216.0,-4.0
1237.0,-5.0
1192.0,4.0
2475.0,-50.0
937.0,-17.0
312.0,13.0
930.0,-14.0
1454.0,-7.0
271.0,-21.0
594.0,-2.0
425.0,-14.0
925.0,-13.0
1773.0,-11.0
337.0,-26.0
1723.0,-6.0
387.0,-6.0
224.0,-1.0
2588.0,-5.0
600.0,1.0
669.0,-13.0
813.0,12.0
264.0,-21.0
954.0,-20.0
834.0,8.0
1121.0,12.0
631.0,313.0
677.0,4.0
1749.0,2.0
844.0,-12.0
223.0,7.0
333.0,10.0
417.0,-10.0
1400.0,133.0
316.0,-15.0
859.0,22.0
1846.0,-24.0
1372.0,435.0
214.0,-5.0
547.0,0.0
944.0,-15.0
1449.0,-6.0
1172.0,-13.0
479.0,-28.0
993.0,-28.0
860.0,59.0
861.0,-26.0
1346.0,39.0
237.0,-5.0
604.0,-13.0
1042.0,35.0
212.0,19.0
438.0,-18.0
946.0,-4.0
1035.0,-41.0
1535.0,-26.0
102.0,4.0
1452.0,13.0
745.0,-14.0
946.0,220.0
407.0,-4.0
455.0,-1.0
547.0,-10.0
1080.0,172.0
1119.0,25.0
680.0,13.0
629.0,-17.0
1065.0,4.0
280.0,-10.0
1747.0,-3.0
738.0,-20.0
432.0,-19.0
955.0,-13.0
1237.0,-4.0
719.0,-23.0
761.0,-4.0
1436.0,-20.0
247.0,5.0
541.0,-14.0
615.0,10.0
919.0,-46.0
311.0,-13.0
874.0,-16.0
1065.0,-19.0
628.0,-12.0
130.0,-5.0
787.0,-13.0
1313.0,0.0
1341.0,-24.0
742.0,-16.0
177.0,-9.0
371.0,-19.0
1416.0,-13.0
640.0,-39.0
357.0,-1.0
100.0,-1.0
946.0,-17.0
991.0,-18.0
738.0,-20.0
337.0,10.0
236.0,8.0
413.0,-10.0
740.0,-17.0
1995.0,-8.0
308.0,-13.0
867.0,-20.0
1022.0,-22.0
2338.0,-24.0
402.0,-20.0
1440.0,-19.0
337.0,-15.0
409.0,-11.0
2556.0,-38.0
308.0,-18.0
979.0,5.0
237.0,-17.0
2434.0,1.0
1194.0,-14.0
1491.0,-32.0
430.0,2.0
919.0,-8.0
1565.0,18.0
